crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Tomato,Silty,83,292,37.47,52.76,0.85,0.69,27.04,2.26,31.28,12.46,16.2,3.996,0.832,76.82,0.7,107.01,8,0.536,1,491.535
Rice,Sandy,107,313,32.25,82.31,5.26,2.48,29.37,3.71,23.15,12.35,17.09,2.742,0.727,71.44,0.932,120.66,5,0.477,1,345.8074
Wheat,Silty,69,255,21.55,72.05,0.19,0.15,29.19,1.67,34.04,17.6,24.22,2.736,0.841,83.59,1.126,95.14,8,0.427,1,613.4717
Maize,Clayey,97,254,24.66,81.09,9.14,7.84,8.69,0.81,43.39,19.78,32.55,2,0.743,84.45,1.174,150.16,1,0.481,0,0
Wheat,Loamy,84,259,23.84,67.9,0.15,0.1,18.74,2.2,34.73,17.17,25.99,2,0.676,60.3,0.923,153.74,1,0.463,1,525.3702
Rice,Clayey,30,270,34.6,46.75,0.83,0.63,19.62,3.78,39.39,18.35,25.02,3.523,1,67.57,1.005,129.56,1,0.44,1,861.8611
Rice,Clayey,109,34,32.74,44.82,1.87,1.52,9.87,4.62,36.74,19.07,24.7,3.32,0.709,60.96,0.759,153.74,6,0.527,1,697.6528
Rice,Loamy,8,326,28.55,30.59,4.23,3.81,18.67,0.73,36.17,17.06,36.17,2,0.579,83.29,0.35,144.44,9,0.55,0,0
Maize,Clayey,38,325,21.32,80.76,9.05,8.99,21.16,4.15,38.24,21.11,31.39,2,0.963,65.32,0.413,172.94,7,0.432,0,0
Rice,Loamy,61,238,36.57,85.06,1.68,1.6,13.22,0.8,33.24,18.79,27.41,2.43,1.145,63.25,1.174,138.66,6,0.582,0,0
Maize,Silty,81,179,30.03,79.94,4.25,2.25,12.89,1.99,26.67,12.34,26.67,2.901,0.919,83.91,0.654,115.69,10,0.422,1,1.7031
Rice,Clayey,108,104,37.32,34.84,3.9,1.82,6.51,0.6,41.51,19.61,27.33,2,0.718,77.23,0.995,152.97,5,0.427,1,773.9166
Wheat,Loamy,65,29,28.34,79.54,2.54,2.31,28.92,4.6,36.43,15.29,20.8,2.522,0.885,64.6,0.498,85.68,4,0.342,1,493.5673
Wheat,Sandy,67,227,33.89,32.97,3.52,2.92,25.09,3.68,22.47,9.08,15.34,3.134,0.863,85.34,0.78,127.63,4,0.306,1,263.0349
Tomato,Clayey,46,232,33.7,36.86,0.12,0.06,23.99,2.16,37.91,20.3,35.25,2.067,0.982,72.21,0.437,176.6,5,0.599,0,0
Wheat,Silty,90,304,22.76,58.63,1.75,0.9,5.54,2.2,29.95,15.12,26.41,2,0.61,71.19,1.028,150.52,6,0.456,1,27.265
Tomato,Loamy,95,350,37.17,60.95,4.62,2.78,20.61,3.38,36.3,16.66,25.9,3.154,0.739,79.55,0.451,179.86,3,0.356,1,257.4127
Wheat,Clayey,72,335,15.5,83.05,1.93,1.38,9.52,0.9,40.32,24.93,35.77,2,0.808,61.11,0.935,119.29,1,0.561,0,0
Maize,Clayey,43,117,32.68,74.17,6.2,6.15,21.54,1.15,37.11,19.07,27.44,2.443,1.005,70.08,0.436,119.29,1,0.508,0,0
Wheat,Clayey,59,207,37.21,39.97,5.38,3.2,20.53,4.31,43.43,20.87,23.83,3.674,0.951,62.36,1.037,85.96,6,0.555,1,1417.1293
Tomato,Silty,46,185,22.79,44.7,5.97,3.03,26.3,1.41,33.47,14.55,30.99,2,0.982,82.06,0.753,116.07,7,0.332,0,0
Tomato,Loamy,72,138,29.91,48.57,0.42,0.23,11.39,3.77,30.22,16.87,19,2,0.918,68.23,0.671,94.12,6,0.586,1,479.759
Rice,Sandy,35,323,27.93,38.04,0.84,0.68,5.69,1.52,26.1,11.13,21.77,2.533,1.04,85.09,0.603,119.55,3,0.451,0,0
Maize,Sandy,39,164,32.51,48.7,0.09,0.05,27.85,0.9,24.59,14.99,16.93,2.772,0.971,72.56,0.919,80.19,8,0.43,1,343.3241
Wheat,Sandy,92,75,34.92,77.36,12.19,11.59,27.72,4.55,25.44,12.88,19.32,3.371,0.588,86.56,0.379,123.82,1,0.457,1,104.9382
Rice,Loamy,51,233,28.87,45.69,0.81,0.55,16.4,4.56,37.21,15,31.13,2,1.168,66.63,1.071,173.92,3,0.473,0,0
Wheat,Sandy,4,284,33.77,84.3,1.37,0.67,6.95,3.22,25.52,14.74,18.02,2.185,0.362,79.58,0.985,156.24,9,0.397,1,396.94
Wheat,Silty,80,255,22.18,60.52,0.96,0.43,17.45,2.58,32.51,14.04,25.78,2.496,0.72,88.35,0.636,104.12,5,0.385,1,201.6038
Rice,Loamy,77,9,20.26,50.99,0.12,0.09,18.1,2.99,33.65,16.52,21.17,2,1,71.82,1.18,107.01,9,0.327,1,876.4007
Rice,Clayey,84,203,24.91,56.81,0.91,0.83,25.54,2.34,41.3,18.68,38.04,2.684,0.936,64.74,1.049,110.92,1,0.573,1,27.9168
Rice,Silty,51,305,30.59,76.12,0.31,0.23,22.93,3.91,27.9,14.99,19.06,2.688,1.168,76.61,0.544,89.27,1,0.467,1,241.7029
Rice,Clayey,5,91,19.31,63.59,1.5,1.12,6.77,3.9,40.35,22.25,34.89,2,0.512,72.96,1.099,179.19,5,0.355,1,43.8105
Rice,Sandy,55,332,30.65,30.47,10.22,7.99,22.63,4.19,27.97,9.14,21.17,2.315,1.2,75.18,0.389,146.78,9,0.456,0,0
Wheat,Silty,101,150,24.06,89.95,3.59,3.48,8.39,2.85,27.25,17.23,23.9,2,0.45,74.28,0.921,153.84,4,0.352,0,0
Rice,Loamy,20,360,33.3,34.29,3.68,3.34,7.24,4.11,38.31,19.11,27.62,2.83,0.848,67.98,0.418,149.47,3,0.323,1,227.683
Maize,Silty,24,176,15.85,91.01,1.81,1.49,14.97,1.2,27.09,12.35,14.27,2,0.776,75.44,1.178,126.51,3,0.31,1,894.8089
Tomato,Clayey,36,33,30.36,31.83,5,4.68,6.93,0.64,40.23,24.09,36.52,2,0.908,64.43,0.345,161.63,8,0.557,0,0
Rice,Loamy,34,184,29.95,80.11,7.17,5.53,25.73,3.42,32.38,19.52,27.1,3.013,1.032,77.49,0.509,103.77,10,0.521,0,0
Rice,Silty,109,157,36.64,64.75,9.78,7.09,16.58,0.97,26.42,13.79,15.59,3.021,0.709,73.11,0.777,118.82,1,0.403,1,449.3743
Wheat,Silty,112,53,31.41,62.87,0.31,0.13,19.68,2.98,27.98,12.91,25.87,3.053,0.45,89.18,0.826,112.59,8,0.415,0,0
Rice,Silty,54,296,33.31,34.73,6.35,4.36,19.42,3.75,33.73,14.48,24.79,2.478,1.192,62.85,0.762,175.26,10,0.488,0,0
Rice,Silty,34,202,35.81,45.52,0.76,0.33,29.45,2.33,26.91,12.88,21.74,2.705,1.032,82.56,0.966,83.9,6,0.592,0,0
Rice,Loamy,83,274,30.53,80.54,1.52,1.32,27.89,0.7,34.21,15.09,30,2,0.945,70.48,0.301,87.54,1,0.302,0,0
Wheat,Clayey,17,175,21.67,87.93,1.27,0.52,26.23,4.49,36.21,18.03,23.1,2.548,0.726,80.92,0.807,175.61,3,0.456,1,550.6021
Rice,Silty,5,244,35,64.39,3.37,1.43,14.58,0.69,25.24,17.98,17.99,2.206,0.512,88.73,0.853,148.76,10,0.356,0,0
Tomato,Loamy,89,269,32.19,52.97,2.73,1.15,8.63,4.57,34.49,18.64,29.42,2.754,0.786,86.93,0.488,143.59,2,0.529,0,0
Wheat,Clayey,18,74,24.76,33.9,0.35,0.22,19.8,0.74,42.37,24.16,33.94,2,0.754,63.4,0.893,161.93,7,0.436,1,455.3971
Tomato,Silty,55,96,31.34,74.34,4.58,3.56,16.01,3.81,26.04,15.15,15.16,2.731,1.05,86.29,0.889,171.69,1,0.379,0,0
Wheat,Clayey,53,361,34.96,48.1,1.74,1.65,10.64,4.66,38.22,21.84,31.75,2.336,1.017,71.73,0.777,169.62,5,0.559,0,0
Rice,Clayey,50,173,37.44,33.58,0.01,0,7.44,4.58,38.32,19.29,25.99,2.593,1.16,62.12,0.533,168.98,8,0.549,1,402.1977
Tomato,Loamy,72,155,36.9,73.28,1.61,1.43,15.9,4.52,36.73,15.19,23.66,2.948,0.918,66.23,0.675,163.88,5,0.505,1,570.0348
Wheat,Clayey,91,183,22.48,61.57,2.18,1.55,21.27,4.47,43.95,19.02,37.8,2.22,0.599,60.86,0.545,92.04,9,0.382,0,0
Maize,Loamy,79,323,24.7,30.78,0.21,0.11,20.63,2.8,36.15,18.77,36.1,2.008,0.941,64.18,0.993,143.53,7,0.504,0,0
Rice,Silty,45,289,17.52,37.21,0.49,0.46,24.35,3.01,25.73,17.42,19.5,2,1.12,74.02,0.857,129.11,8,0.508,1,283.321
Wheat,Clayey,13,258,20.69,75.45,15.14,13.04,16.66,3.29,38.56,24.98,24.98,2.783,0.614,88.36,0.436,158.05,5,0.515,1,293.8644
Maize,Clayey,16,75,35.3,34.14,6.15,4.72,13.04,4.53,35.69,23.02,32.57,2.764,0.617,84.29,0.811,175.51,5,0.483,0,0
Wheat,Sandy,86,174,23.3,86.29,0.43,0.4,18.47,4.27,21.61,10.82,13.58,2.451,0.654,75.94,1.113,116.45,6,0.424,1,478.7831
Maize,Silty,84,330,29.27,50.24,2.6,2.23,29.38,4.02,29.43,14.44,26.92,3.21,0.886,69.71,1.05,155.48,6,0.379,0,0
Rice,Silty,13,231,30.32,35.76,1.43,0.71,6.13,3.54,28.38,16.6,19.16,2.481,0.691,60.85,1.102,101.21,7,0.502,1,645.8272
Tomato,Sandy,20,247,32.98,79.38,2.35,1.13,18.22,3.28,28.2,10.35,18.53,2.774,0.72,61.72,1.125,122.15,1,0.487,1,706.9896
Maize,Sandy,66,161,19.2,64.09,1.91,1.23,13.23,4.65,24.83,10.95,16.58,2.9,1.084,81.95,0.469,152.31,3,0.428,1,209.833
Wheat,Loamy,99,186,22.01,49.93,0.15,0.08,7.63,1.37,35.94,15.75,20.69,2,0.511,76.34,0.948,88.71,1,0.512,1,881.3371
Rice,Loamy,47,143,25.31,56.4,1.14,0.71,15.87,1.37,38.06,18.99,25.26,2,1.136,63.65,0.88,166.2,7,0.331,1,677.2389
Maize,Clayey,119,282,23.39,31.39,0.4,0.2,21.03,4.92,40.9,23.22,32.16,2,0.54,85.87,0.33,171.71,3,0.45,1,122.7264
Wheat,Clayey,19,128,37.61,73.08,2.01,1.91,18.2,2.99,44.89,24.46,44.64,2.72,0.782,75.53,1,167.2,1,0.428,0,0
Wheat,Clayey,45,166,34.2,53.78,7.14,4.17,5.73,2.68,41.11,21.58,31.63,2.176,1.01,85.11,0.486,80.08,8,0.455,1,210.8216
Wheat,Clayey,37,27,26.03,76.41,16.23,14.92,19.48,4.33,40.35,21.27,40.34,2.259,0.946,83.35,1.125,160.35,9,0.575,0,0
Maize,Loamy,54,246,35.22,70.83,8.66,5.18,10.8,4.32,34.8,18.66,33.92,2,1.099,70,1.052,169.7,7,0.585,0,0
Maize,Silty,6,135,23,72.33,12.74,5.52,13.54,1.29,34.92,12.27,33.36,2.225,0.419,81.08,0.992,178.38,4,0.541,0,0
Maize,Clayey,14,202,33.07,81.54,0.05,0.04,12.81,1.28,37.3,19.47,31.6,2.22,0.578,89.77,0.927,83.35,6,0.404,0,0
Tomato,Silty,4,21,20.14,71.03,3.92,3.08,26.46,4.08,33.33,14.52,22.79,2.463,0.384,82.44,0.723,136.38,2,0.302,1,426.4467
Maize,Clayey,86,79,32.76,57.22,0.96,0.87,6.19,4.04,40.25,21.28,34.15,2.921,0.864,67.93,1.018,168.19,7,0.498,0,0
Maize,Sandy,115,158,25.5,55.35,6.02,5.58,13.7,1.51,28.54,11.5,22.34,2,0.54,77.76,1.037,153.11,6,0.338,1,310.2577
Maize,Clayey,55,94,17.47,37.77,5.04,4.39,14.87,4.29,41.68,18.14,32.9,2.572,1.107,72.99,0.389,165.43,4,0.58,0,0
Tomato,Clayey,103,8,21.29,80.66,1.65,1.5,20.47,2.66,41.52,19.69,37.91,2,0.63,69,0.598,149.84,3,0.597,0,0
Maize,Clayey,100,339,24.25,79.47,1.92,1.19,24.72,2.61,43.67,23.26,38.91,2.224,0.71,68.53,0.585,82.42,6,0.368,1,21.2138
Wheat,Loamy,34,259,32.23,46.01,0.92,0.54,23.19,4.94,31.09,15.52,22.7,3.012,0.922,73.81,0.412,167.82,8,0.398,1,178.4776
Maize,Sandy,27,55,16.68,86.07,1.02,0.67,23.82,2.84,22.93,8.88,20.98,2,0.835,69.31,1.178,141.77,8,0.534,0,0
Wheat,Clayey,7,36,30.17,68.29,11.92,11.21,9.81,1.12,42.4,24.91,41.82,2,0.446,64.43,0.825,104.75,8,0.412,0,0
Wheat,Clayey,3,6,31.47,61.11,6.59,5.68,27.79,1.76,41.55,19.74,27.26,3.038,0.334,82.71,0.831,147.98,9,0.596,1,533.5697
Wheat,Silty,47,42,30.04,31.14,0.64,0.49,15.35,2,30.64,16.83,30.46,2.264,1.026,68.79,0.644,131.44,4,0.35,0,0
Tomato,Sandy,97,50,32.5,54.88,0.97,0.58,5.28,4.81,29.62,8.04,23.78,3.214,0.723,71.19,0.992,151.74,8,0.326,0,0
Tomato,Clayey,2,112,19.1,71.64,0.35,0.29,21.7,1.69,40.24,21.17,38.56,2.549,0.342,87.09,0.728,127.28,9,0.328,0,0
Tomato,Silty,106,146,28.5,35.83,13.49,6.78,20.1,2.44,29.14,15.02,18.48,2.067,0.63,79.87,0.968,90.25,1,0.418,1,463.7189
Maize,Silty,80,230,36.65,59.87,7.13,5.38,8.15,3.87,29.04,14.06,20.75,3.584,0.93,87.86,1.09,171.21,10,0.321,1,411.7877
Wheat,Loamy,25,211,29.05,94.57,2.41,1.97,29,1.73,31.15,17.5,30.34,2,0.85,78.04,0.891,148.29,3,0.405,0,0
Tomato,Silty,60,306,29.06,76.58,3.54,1.49,19.04,3.66,33.21,12.63,31.46,2.878,1.011,70.67,0.861,151.39,9,0.474,0,0
Tomato,Clayey,79,30,31.94,65.55,4.13,3.06,16.73,1.43,42.38,19.87,39.61,2,0.863,66.68,1.008,156.76,4,0.358,0,0
Maize,Loamy,24,295,22.66,64.65,0.68,0.68,14.95,1.59,33.81,19.94,29.85,2,0.776,84.76,0.753,131.23,10,0.332,0,0
Tomato,Loamy,15,116,31.11,32.84,8.18,5.2,10.25,4.94,36.75,18.6,35.44,2.262,0.615,73.47,1.03,151.39,3,0.379,0,0
Maize,Clayey,95,226,36.07,92.23,2.24,1.95,28.82,2.16,41.02,20.26,37.28,3.507,0.765,79.53,0.383,101.17,7,0.407,0,0
Rice,Sandy,14,59,15.25,90.33,0.29,0.24,22.55,3.78,26.75,11.2,17.16,2,0.714,82.26,0.518,126.88,2,0.482,1,246.3507
Tomato,Silty,54,76,35.01,74.36,1.52,0.67,19.19,4.28,33.32,15.43,20.35,2.898,1.042,67.39,1.132,149.16,7,0.342,1,893.7924
Rice,Loamy,78,216,20.03,36.44,2.76,1.13,20.78,2.06,37.71,19.24,20.47,2,0.991,89.29,0.454,160.49,9,0.303,1,334.6705
Maize,Sandy,6,132,25.49,43.51,1.31,1.13,26.01,2.11,28.21,10.81,19.3,3.207,0.419,67.07,0.708,176.81,7,0.42,1,418.4299
Wheat,Clayey,78,304,34.6,41.95,3.6,1.85,20.89,3.98,38.69,24.08,34.01,4.151,0.742,82.73,0.733,166.08,6,0.549,0,0
Tomato,Silty,81,81,33.95,63.77,6.41,3.83,7.86,3.23,26.43,13.68,18.3,2.274,0.848,64.55,0.676,84.15,1,0.389,1,330.9097
Maize,Silty,18,305,35.51,43.51,4.43,3.25,22.43,2.13,26.21,12.25,14.24,3.086,0.657,89.23,1.08,97.68,3,0.495,1,645.5745
Wheat,Loamy,20,67,36.63,75.23,3.09,2.21,19.12,3.87,36.16,19.5,21.86,4.121,0.81,67.54,0.975,147.94,4,0.323,1,818.3313
Wheat,Silty,115,230,25.28,65.44,2.15,1.06,29.16,4.39,26.29,16.77,20.81,2.928,0.45,75.46,1.029,88.21,9,0.521,1,279.1469
Rice,Silty,62,333,30.1,31.15,0.88,0.39,23.34,1.56,28.79,15.71,22.85,3.287,1.136,71.07,1.192,179.53,7,0.386,1,344.3282
Maize,Silty,81,277,23.98,78.36,1.82,1.45,13.6,0.61,32.64,16.26,20.77,2.968,0.919,87.12,1.177,127.12,5,0.374,1,681.4452
Wheat,Silty,80,361,23.07,42.27,1.04,0.95,8.38,1.73,26.37,12.69,19.4,2,0.72,75.66,1.103,148.64,7,0.357,1,444.8556
Tomato,Clayey,40,72,24.93,83.62,8.16,8.08,17.06,3.54,44.24,18.56,38.89,2.149,0.938,80.16,0.809,84.78,4,0.56,0,0
Tomato,Sandy,39,209,32.09,53.08,7.14,5.22,21.98,4.62,22.18,11.07,20.68,3.586,0.93,66.59,0.571,123.04,8,0.404,0,0
Rice,Clayey,52,272,26.53,52.01,0.51,0.38,9.43,4.38,43.21,22.22,26.13,2,1.176,88.38,0.951,103.96,5,0.6,0,0
